hora;mês;Irradiacao
0;janeiro;0
1;janeiro;0
2;janeiro;0
3;janeiro;0
4;janeiro;0
5;janeiro;0
6;janeiro;0
7;janeiro;0,125
8;janeiro;0,335
9;janeiro;0,409
10;janeiro;0,442
11;janeiro;0,449
12;janeiro;0,429
13;janeiro;0,407
14;janeiro;0,373
15;janeiro;0,242
16;janeiro;0,007
17;janeiro;0
18;janeiro;0
19;janeiro;0
20;janeiro;0
21;janeiro;0
22;janeiro;0
23;janeiro;0
0;fevereiro;0
1;fevereiro;0
2;fevereiro;0
3;fevereiro;0
4;fevereiro;0
5;fevereiro;0
6;fevereiro;0
7;fevereiro;0,261
8;fevereiro;0,395
9;fevereiro;0,449
10;fevereiro;0,49
11;fevereiro;0,506
12;fevereiro;0,488
13;fevereiro;0,461
14;fevereiro;0,433
15;fevereiro;0,372
16;fevereiro;0,106
17;fevereiro;0
18;fevereiro;0
19;fevereiro;0
20;fevereiro;0
21;fevereiro;0
22;fevereiro;0
23;fevereiro;0
0;março;0
1;março;0
2;março;0
3;março;0
4;março;0
5;março;0
6;março;0,131
7;março;0,356
8;março;0,42
9;março;0,471
10;março;0,523
11;março;0,539
12;março;0,509
13;março;0,483
14;março;0,46
15;março;0,4
16;março;0,277
17;março;0,027
18;março;0
19;março;0
20;março;0
21;março;0
22;março;0
23;março;0
0;abril;0
1;abril;0
2;abril;0
3;abril;0
4;abril;0
5;abril;0,067
6;abril;0,333
7;abril;0,423
8;abril;0,46
9;abril;0,496
10;abril;0,522
11;abril;0,542
12;abril;0,543
13;abril;0,522
14;abril;0,5
15;abril;0,45
16;abril;0,359
17;abril;0,125
18;abril;0
19;abril;0
20;abril;0
21;abril;0
22;abril;0
23;abril;0
0;maio;0
1;maio;0
2;maio;0
3;maio;0
4;maio;0
5;maio;0,244
6;maio;0,385
7;maio;0,44
8;maio;0,477
9;maio;0,52
10;maio;0,557
11;maio;0,576
12;maio;0,573
13;maio;0,568
14;maio;0,541
15;maio;0,494
16;maio;0,409
17;maio;0,255
18;maio;0,021
19;maio;0
20;maio;0
21;maio;0
22;maio;0
23;maio;0
0;junho;0
1;junho;0
2;junho;0
3;junho;0
4;junho;0,045
5;junho;0,305
6;junho;0,418
7;junho;0,489
8;junho;0,546
9;junho;0,595
10;junho;0,642
11;junho;0,67
12;junho;0,671
13;junho;0,667
14;junho;0,637
15;junho;0,586
16;junho;0,497
17;junho;0,369
18;junho;0,083
19;junho;0
20;junho;0
21;junho;0
22;junho;0
23;junho;0
0;julho;0
1;julho;0
2;julho;0
3;julho;0
4;julho;0
5;julho;0,286
6;julho;0,452
7;julho;0,534
8;julho;0,602
9;julho;0,662
10;julho;0,709
11;julho;0,741
12;julho;0,748
13;julho;0,744
14;julho;0,725
15;julho;0,662
16;julho;0,574
17;julho;0,427
18;julho;0,075
19;julho;0
20;julho;0
21;julho;0
22;julho;0
23;julho;0
0;agosto;0
1;agosto;0
2;agosto;0
3;agosto;0
4;agosto;0
5;agosto;0,155
6;agosto;0,422
7;agosto;0,526
8;agosto;0,597
9;agosto;0,653
10;agosto;0,709
11;agosto;0,742
12;agosto;0,749
13;agosto;0,737
14;agosto;0,699
15;agosto;0,625
16;agosto;0,516
17;agosto;0,259
18;agosto;0,001
19;agosto;0
20;agosto;0
21;agosto;0
22;agosto;0
23;agosto;0
0;setembro;0
1;setembro;0
2;setembro;0
3;setembro;0
4;setembro;0
5;setembro;0,035
6;setembro;0,317
7;setembro;0,454
8;setembro;0,513
9;setembro;0,567
10;setembro;0,611
11;setembro;0,629
12;setembro;0,63
13;setembro;0,603
14;setembro;0,562
15;setembro;0,482
16;setembro;0,324
17;setembro;0,03
18;setembro;0
19;setembro;0
20;setembro;0
21;setembro;0
22;setembro;0
23;setembro;0
0;outubro;0
1;outubro;0
2;outubro;0
3;outubro;0
4;outubro;0
5;outubro;0
6;outubro;0,166
7;outubro;0,352
8;outubro;0,408
9;outubro;0,453
10;outubro;0,505
11;outubro;0,488
12;outubro;0,473
13;outubro;0,449
14;outubro;0,408
15;outubro;0,32
16;outubro;0,053
17;outubro;0
18;outubro;0
19;outubro;0
20;outubro;0
21;outubro;0
22;outubro;0
23;outubro;0
0;novembro;0
1;novembro;0
2;novembro;0
3;novembro;0
4;novembro;0
5;novembro;0
6;novembro;0,036
7;novembro;0,281
8;novembro;0,387
9;novembro;0,428
10;novembro;0,454
11;novembro;0,453
12;novembro;0,431
13;novembro;0,405
14;novembro;0,37
15;novembro;0,161
16;novembro;0
17;novembro;0
18;novembro;0
19;novembro;0
20;novembro;0
21;novembro;0
22;novembro;0
23;novembro;0
0;Dezembro;0
1;Dezembro;0
2;Dezembro;0
3;Dezembro;0
4;Dezembro;0
5;Dezembro;0
6;Dezembro;0
7;Dezembro;0,159
8;Dezembro;0,337
9;Dezembro;0,401
10;Dezembro;0,432
11;Dezembro;0,432
12;Dezembro;0,416
13;Dezembro;0,391
14;Dezembro;0,351
15;Dezembro;0,104
16;Dezembro;0
17;Dezembro;0
18;Dezembro;0
19;Dezembro;0
20;Dezembro;0
21;Dezembro;0
22;Dezembro;0
23;Dezembro;0
